,image_doc_id,user_doc_id,amount_dist,vendor_name_dist,vendor_address_dist,date_dist,amount_img,amount_user,date_img,date_user,vendor_address_img,vendor_address_user,vendor_name_img,vendor_name_user,sum
7,00d0930689679,00d0989196649,5.3,4.64531946182251,3.311798334121704,10.965218544006348,7.42,2.12,02/12/2017,2018-2-1,"NO 290, JALAN AIR PANAS, SETAPAK, 63200, KUALA LUMPUR.","NO 290, JALAN AIR PANAS, SETAPAK, 5320, KUALA LUMPUR.",PERNIAGAAN GIN KEE,SYARIKAT PERNIAGAAN GIN KEE,24.222336339950562
8,00d0930689679,00d0989196649,5.3,4.64531946182251,3.311798334121704,13.585737228393555,7.42,2.12,17,2018-2-1,"NO 290, JALAN AIR PANAS, SETAPAK, 63200, KUALA LUMPUR.","NO 290, JALAN AIR PANAS, SETAPAK, 5320, KUALA LUMPUR.",PERNIAGAAN GIN KEE,SYARIKAT PERNIAGAAN GIN KEE,26.84285502433777
157,00d0922342206,00d0989196649,1.08,10.172797203063965,11.49780559539795,9.281034469604492,3.20,2.12,04/03/2018,2018-2-1,"NO 19-G&19-1&19-2 JALAN TASIK UTAMA 4, MEDAN NIAGA TASIK DAMAI","NO 290, JALAN AIR PANAS, SETAPAK, 5320, KUALA LUMPUR.",PINTAR SDN BHD,SYARIKAT PERNIAGAAN GIN KEE,32.031637268066405
34,00d0167381962,00d0989196649,3.45,11.76500129699707,10.285332679748535,8.611434936523438,5.57,2.12,22/03/2018,2018-2-1,"3 FLOOR, AEON TAMAN MALURI SC JLN JEJAKA, TAMAN MALURI CHERAS, 55100 KUALA LUMPUR","NO 290, JALAN AIR PANAS, SETAPAK, 5320, KUALA LUMPUR.",AEON CO. (M) BHD.,SYARIKAT PERNIAGAAN GIN KEE,34.111768913269046
208,00d0795468800,00d0989196649,0.3799999999999999,15.177604675292969,11.262776374816895,9.143084526062012,2.50,2.12,03/05/2018,2018-2-1,"69, JALAN TEMENGGUNG 3/9 BANDAR MAHKOTA CHERAS 43200 CHERAS SE.ANGOR","NO 290, JALAN AIR PANAS, SETAPAK, 5320, KUALA LUMPUR.",KEE CHERAS RESTAURANT,SYARIKAT PERNIAGAAN GIN KEE,35.96346557617187
184,00d0841246769,00d0989196649,4.9799999999999995,10.812788963317871,11.02439022064209,9.451064109802246,7.10,2.12,03 Apr 2018,2018-2-1,"12, Jalan Tampoi 7/4,Kawasan Perindustrian Tampoi,81200 Johor Bahru, Johor","NO 290, JALAN AIR PANAS, SETAPAK, 5320, KUALA LUMPUR.",UNIHAKKA INTERNATIONAL SDN BHD,SYARIKAT PERNIAGAAN GIN KEE,36.26824329376221
211,00d0884773399,00d0989196649,4.78,10.612607955932617,11.450613021850586,9.446320533752441,6.90,2.12,27 Mat 2018,2018-2-1,"42, Jalan Tampol 7/4,Kawasan Petindustian Tampoi,81200 Johor Bahru, Johor","NO 290, JALAN AIR PANAS, SETAPAK, 5320, KUALA LUMPUR.",UNIHAKKA INTERNATIONAL SDN BHD.,SYARIKAT PERNIAGAAN GIN KEE,36.289541511535646
245,00d0343987945,00d0989196649,2.88,11.154202461242676,11.186689376831055,11.414742469787598,5.00,2.12,13/03/2017,2018-2-1,"4-20, Jalan Ria 29/62 Taman Sri Muda Seksyen 25, 40400 Shah Alam Selangor","NO 290, JALAN AIR PANAS, SETAPAK, 5320, KUALA LUMPUR.",SHAAS SDN BHD,SYARIKAT PERNIAGAAN GIN KEE,36.635634307861324
243,00d0343987945,00d0989196649,2.88,11.154202461242676,11.186689376831055,11.480134010314941,5.00,2.12,19/03/2017,2018-2-1,"4-20, Jalan Ria 29/62 Taman Sri Muda Seksyen 25, 40400 Shah Alam Selangor","NO 290, JALAN AIR PANAS, SETAPAK, 5320, KUALA LUMPUR.",SHAAS SDN BHD,SYARIKAT PERNIAGAAN GIN KEE,36.70102584838867
35,00d0366175414,00d0989196649,5.4799999999999995,10.812788963317871,11.02439022064209,9.673690795898438,7.60,2.12,18 Apr 2018,2018-2-1,"12, Jalan Tampoi 7/4,Kawasan Perindustrian Tampoi,81200 Johor Bahru, Johor","NO 290, JALAN AIR PANAS, SETAPAK, 5320, KUALA LUMPUR.",UNIHAKKA INTERNATIONAL SDN BHD,SYARIKAT PERNIAGAAN GIN KEE,36.9908699798584
57,00d0902251681,00d0989196649,0.6200000000000001,10.963709831237793,14.096270561218262,11.682855606079102,1.50,2.12,27/06/18,2018-2-1,"Car Park Office, Basement 1, Lebuhraya SPRINT, PJU6A, 47400 Petaling Jaya, Selangor","NO 290, JALAN AIR PANAS, SETAPAK, 5320, KUALA LUMPUR.",Sdn. Bhd.,SYARIKAT PERNIAGAAN GIN KEE,37.36283599853516
224,00d0902251681(1),00d0989196649,0.6200000000000001,10.963709831237793,14.096270561218262,11.682855606079102,1.50,2.12,27/06/18,2018-2-1,"Car Park Office, Basement 1, Lebuhraya SPRINT, PJU6A, 47400 Petaling Jaya, Selangor","NO 290, JALAN AIR PANAS, SETAPAK, 5320, KUALA LUMPUR.",Sdn. Bhd.,SYARIKAT PERNIAGAAN GIN KEE,37.36283599853516
67,00d0626463001,00d0989196649,6.079999999999999,10.818675994873047,10.919963836669922,9.910593032836914,8.20,2.12,03 Mar 2018,2018-2-1,"12, Jalan Tampoi 7/4,Kawasan Perindustrian ‘Tampoi,81200 Johor Bahru, Johor","NO 290, JALAN AIR PANAS, SETAPAK, 5320, KUALA LUMPUR.",UNIHAKKA INTERNATIONAL-SDN BHD,SYARIKAT PERNIAGAAN GIN KEE,37.72923286437988
212,00d0158328888,00d0989196649,6.079999999999999,10.812788963317871,10.886031150817871,10.3936128616333,8.20,2.12,05 Mar 2018,2018-2-1,"12, Jalan Tampoi 7/4,Kawasan Perindustrian ‘Tampoi,61200 Johor Bahru, Johor","NO 290, JALAN AIR PANAS, SETAPAK, 5320, KUALA LUMPUR.",UNIHAKKA INTERNATIONAL SDN BHD,SYARIKAT PERNIAGAAN GIN KEE,38.17243297576904
203,00d0652046562,00d0989196649,1.7799999999999998,10.981215476989746,12.004751205444336,13.487003326416016,3.90,2.12,11-17,2018-2-1,"LOT 1851-A & 1851-B, JALAN KPB 6, KAWASAN PERINDUSTRIAN BALAKONG, 43300 SERI KEMBANGAN, SELANGOR","NO 290, JALAN AIR PANAS, SETAPAK, 5320, KUALA LUMPUR.",. D.I.Y. SDN BHD,SYARIKAT PERNIAGAAN GIN KEE,38.2529700088501
183,00d0676485252,00d0989196649,5.4799999999999995,12.075017929077148,10.867547035217285,9.877463340759277,7.60,2.12,22 Mar 2018,2018-2-1,"12, Jalan Tampoi 7/4,Kawasan Perindustian ‘Tampol,81200 Johor Bahru Johor","NO 290, JALAN AIR PANAS, SETAPAK, 5320, KUALA LUMPUR.",UNIHAKKA INTERNATIONAL SON BHD,SYARIKAT PERNIAGAAN GIN KEE,38.300028305053715
191,00d0844818369,00d0989196649,6.579999999999999,11.294299125671387,11.290528297424316,9.464547157287598,8.70,2.12,07 May 2018,2018-2-1,"42, Jalan Tampoi 7/4,Kawasan Perindustrian Tampoi,81200 Johor Bahru, Johor","NO 290, JALAN AIR PANAS, SETAPAK, 5320, KUALA LUMPUR.",O36 UNIHAKKA INTERNATIONAL SDN BHD,SYARIKAT PERNIAGAAN GIN KEE,38.6293745803833
112,00d0558270937,00d0989196649,6.079999999999999,10.812788963317871,11.290528297424316,10.471592903137207,8.20,2.12,09 Apr 2018,2018-2-1,"42, Jalan Tampoi 7/4,Kawasan Perindustrian Tampoi,81200 Johor Bahru,Johor","NO 290, JALAN AIR PANAS, SETAPAK, 5320, KUALA LUMPUR.",UNIHAKKA INTERNATIONAL SDN BHD,SYARIKAT PERNIAGAAN GIN KEE,38.65491016387939
244,00d0343987945,00d0989196649,2.88,11.154202461242676,11.186689376831055,14.173285484313965,5.00,2.12,1880000255018,2018-2-1,"4-20, Jalan Ria 29/62 Taman Sri Muda Seksyen 25, 40400 Shah Alam Selangor","NO 290, JALAN AIR PANAS, SETAPAK, 5320, KUALA LUMPUR.",SHAAS SDN BHD,SYARIKAT PERNIAGAAN GIN KEE,39.39417732238769
226,00d0849102191,00d0989196649,8.579999999999998,10.812788963317871,11.290528297424316,10.185296058654785,10.70,2.12,27 May 2018,2018-2-1,"42, Jalan Tampoi 7/4,Kawasan Perindustrian Tampoi,81200 Johor Bahru, Johor","NO 290, JALAN AIR PANAS, SETAPAK, 5320, KUALA LUMPUR.",UNIHAKKA INTERNATIONAL SDN BHD,SYARIKAT PERNIAGAAN GIN KEE,40.86861331939697
66,00d0821795963,00d0989196649,9.079999999999998,10.812788963317871,11.02439022064209,10.1116943359375,11.20,2.12,05 May 2018,2018-2-1,"12, Jalan Tampoi 7/4,Kawasan Perindustrian Tampoi,81200 Johor Bahru, Johor","NO 290, JALAN AIR PANAS, SETAPAK, 5320, KUALA LUMPUR.",UNIHAKKA INTERNATIONAL SDN BHD,SYARIKAT PERNIAGAAN GIN KEE,41.02887351989746
360,00d0722335566,00d0989196649,6.28,13.198612213134766,11.323843002319336,11.712748527526855,8.40,2.12,25/10/2027,2018-2-1,"GROUND FLOOR, NO. 4 & 6, JALAN SS 15/4B, 47500 SUBANG JAYA, SELANGOR","NO 290, JALAN AIR PANAS, SETAPAK, 5320, KUALA LUMPUR.",MAKASSAR FRESH MARKET SON BHO,SYARIKAT PERNIAGAAN GIN KEE,42.51520374298096
249,00d0230547657,00d0989196649,3.88,14.422309875488281,12.719132423400879,11.969639778137207,6.00,2.12,15/11/2017,2018-2-1,"NG. 17-G, JALAN SETIA INAH X) ULZ/%, SETIA ALAi SEKSYEN U13 ant70 SHAH ALAN","NO 290, JALAN AIR PANAS, SETAPAK, 5320, KUALA LUMPUR.",HUAT HARDWARE ENTERPRISE,SYARIKAT PERNIAGAAN GIN KEE,42.99108207702636
330,00d0388872730,00d0989196649,7.329999999999999,10.9200439453125,15.916718482971191,9.036828994750977,9.45,2.12,11/05/2018,2018-2-1,"LOT NO.: 4F-27 & 4FK-38, 4TH FLOOR","NO 290, JALAN AIR PANAS, SETAPAK, 5320, KUALA LUMPUR.",F&B SDN. BHD.,SYARIKAT PERNIAGAAN GIN KEE,43.203591423034666
359,00d0722335566,00d0989196649,6.28,13.198612213134766,12.443115234375,11.712748527526855,8.40,2.12,25/10/2027,2018-2-1,"Lot 3, Jalan Pelabur 23/1 40300 Shalt Alam","NO 290, JALAN AIR PANAS, SETAPAK, 5320, KUALA LUMPUR.",MAKASSAR FRESH MARKET SON BHO,SYARIKAT PERNIAGAAN GIN KEE,43.63447597503662
71,00d0369571763,00d0989196649,8.280000000000001,14.546990394592285,9.180216789245605,11.926231384277344,10.40,2.12,21/09/2017,2018-2-1,"NO 37, JALAN MANIS 7, TAMAN SEGAR, §6100 CHERAS, KUALA LUMPUR.","NO 290, JALAN AIR PANAS, SETAPAK, 5320, KUALA LUMPUR.",HWA HARDWARE TRADING,SYARIKAT PERNIAGAAN GIN KEE,43.933438568115236
265,00d0734092781,00d0989196649,10.18,11.172537803649902,11.9983491897583,10.790701866149902,12.30,2.12,24 -03-18,2018-2-1,"LOT 1851-A & 1851-B, JALAN KPB 6, KAWASAN PERINOUSTRIAN BALAKONG, 43300 SERI KEMBANGAN, SELANGOR","NO 290, JALAN AIR PANAS, SETAPAK, 5320, KUALA LUMPUR.",D.I.Y. (M) SDN BHD,SYARIKAT PERNIAGAAN GIN KEE,44.141588859558105
297,00d0708429922,00d0989196649,4.27,16.376161575317383,11.496026992797852,12.395384788513184,6.39,2.12,20/16/2017,2018-2-1,"Lot 3, Jalan Pelabur 23/1, 40300 Shah Alam, Selangor","NO 290, JALAN AIR PANAS, SETAPAK, 5320, KUALA LUMPUR.",BAKERIES (KL) SDN BITD,SYARIKAT PERNIAGAAN GIN KEE,44.537573356628414
296,00d0708429922,00d0989196649,4.27,16.376161575317383,11.496026992797852,12.395384788513184,6.39,2.12,20/16/2017,2018-2-1,"Lot 3, Jalan Pelabur 23/1, 40300 Shah Alam, Selangor","NO 290, JALAN AIR PANAS, SETAPAK, 5320, KUALA LUMPUR.",BAKERIES (KL) SDN BITD,SYARIKAT PERNIAGAAN GIN KEE,44.537573356628414
257,00d0916574976,00d0989196649,7.88,13.431131362915039,12.004751205444336,11.362546920776367,10.00,2.12,18,2018-2-1,"LOT 1851-A & 1851-B, JALAN KPB 6, KAWASAN PERINDUSTRIAN BALAKONG, 43300 SERI KEMBANGAN, SELANGOR","NO 290, JALAN AIR PANAS, SETAPAK, 5320, KUALA LUMPUR.",MR. D.1.¥. (M) SDN BHD,SYARIKAT PERNIAGAAN GIN KEE,44.67842948913574
262,00d0225816395,00d0989196649,7.239999999999999,13.837523460388184,11.393837928771973,12.325150489807129,9.36,2.12,17/08/2017,2018-2-1,"Lot 3, Jalan Pelabur 23/1, 40300 Shalt Alam, Selangor.","NO 290, JALAN AIR PANAS, SETAPAK, 5320, KUALA LUMPUR.",BAKERLES (KL) SDN BHD,SYARIKAT PERNIAGAAN GIN KEE,44.79651187896728
263,00d0225816395,00d0989196649,7.239999999999999,13.837523460388184,11.393837928771973,12.325150489807129,9.36,2.12,17/08/2017,2018-2-1,"Lot 3, Jalan Pelabur 23/1, 40300 Shalt Alam, Selangor.","NO 290, JALAN AIR PANAS, SETAPAK, 5320, KUALA LUMPUR.",BAKERLES (KL) SDN BHD,SYARIKAT PERNIAGAAN GIN KEE,44.79651187896728
343,00d0189067460,00d0989196649,7.079999999999999,14.333974838256836,12.001937866210938,11.38141918182373,9.20,2.12,11/04/18,2018-2-1,"No.12, Jalan Permas Jaya 10, Bandar Baru Permas Jaya, 81750 Masai Johor","NO 290, JALAN AIR PANAS, SETAPAK, 5320, KUALA LUMPUR.",DOMINO'S PI4Zza,SYARIKAT PERNIAGAAN GIN KEE,44.7973318862915
111,00d0449498451,00d0989196649,10.98,14.095969200134277,11.331219673156738,8.738211631774902,13.10,2.12,18/03/2018,2018-2-1,"Level’6, Bangunan TH, Damansara Uptown3 No.3, Jalan $S21/39,47400 Petaling Jaya , Selangor","NO 290, JALAN AIR PANAS, SETAPAK, 5320, KUALA LUMPUR.",Gerbang Alaf Restaurants Sdn Bhd,SYARIKAT PERNIAGAAN GIN KEE,45.14540050506592
97,00d0976607312,00d0989196649,7.78,16.404691696166992,10.410778999328613,10.855412483215332,9.90,2.12,20-02-18,2018-2-1,"LOT P.7. 2811, JALAN ANGSA, TAMAN BERKELEY 41150 KLANG, SELANGOR","NO 290, JALAN AIR PANAS, SETAPAK, 5320, KUALA LUMPUR.",SPEED MART S/,SYARIKAT PERNIAGAAN GIN KEE,45.45088317871094
189,00d0383639350,00d0989196649,9.879999999999999,15.264132499694824,11.08121395111084,9.669675827026367,12.00,2.12,10/06/2018,2018-2-1,"31,31A, JALAN HANG TUAH Q, TAMAN SKUDAI BARU, 81300 SKUDAI, JOHOR","NO 290, JALAN AIR PANAS, SETAPAK, 5320, KUALA LUMPUR.",IDEAL MENU GROUP SDN BHD,SYARIKAT PERNIAGAAN GIN KEE,45.89502227783203
332,00d0201833623,00d0989196649,11.18,11.139142990112305,10.693731307983398,12.910772323608398,13.30,2.12,23/12/17,2018-2-1,No 2A Jalan Cochrane Taman Maluri 55100 KUALA [LUMPUR,"NO 290, JALAN AIR PANAS, SETAPAK, 5320, KUALA LUMPUR.",TKANO HANDEL SDN BHD,SYARIKAT PERNIAGAAN GIN KEE,45.9236466217041
169,00d0975647472,00d0989196649,14.48,9.842732429504395,11.360644340515137,10.934918403625488,16.60,2.12,23.116/2017,2018-2-1,"Lot 3, Jalan Pelabur 23/1, 40300 Shah Alam, Selangor.","NO 290, JALAN AIR PANAS, SETAPAK, 5320, KUALA LUMPUR.",BAKEA RIES (KL. i SDN BHD.,SYARIKAT PERNIAGAAN GIN KEE,46.61829517364502
167,00d0975647472,00d0989196649,14.48,9.842732429504395,11.360644340515137,10.934918403625488,16.60,2.12,23.116/2017,2018-2-1,"Lot 3, Jalan Pelabur 23/1, 40300 Shah Alam, Selangor.","NO 290, JALAN AIR PANAS, SETAPAK, 5320, KUALA LUMPUR.",BAKEA RIES (KL. i SDN BHD.,SYARIKAT PERNIAGAAN GIN KEE,46.61829517364502
248,00d0230547657,00d0989196649,3.88,14.422309875488281,16.410789489746094,11.969639778137207,6.00,2.12,15/11/2017,2018-2-1,(SETIA ALAN},"NO 290, JALAN AIR PANAS, SETAPAK, 5320, KUALA LUMPUR.",HUAT HARDWARE ENTERPRISE,SYARIKAT PERNIAGAAN GIN KEE,46.68273914337158
