,0,1
0,00d0243046961,"AY POPULAR BOOK CO. M SDN BHD CO. NO. 113825W GST REG NO. 001492992000 NO 8, JALAN 7/118B, DESA TUN RAZAK 56000 KUALA LUMPUR, MALAYSIA SUNWAY VELOCITY TEL : 039201 6281/6920 DESCRIPTION AMOUNT 29/03/18 13:24 SLIP NO.: 0010111111 WONG HUI LING TRANS: 121722 PB SHT/P 11H A4 10S C/O. 2PE  3,50 7.00 T R RING 500S 22.65 71 TOTAL RM INCL. OF GST 9.65 CASH 50. 00 CHANGE 40. 35 ITEM COUNT 3 GST SUMMARY AMOUNT RM TAX RM T  6 9.10 0.55 TOTAL SAVINGS 0. 00 BE A POPULAR CARD MEMBER AND ENJOY SPECIAL DISCOUNTS THANK YOU. PLEASE COME AGAIN. WWW. POPULAR. COM. MY BUY CHINESE BOOKS ONLINE WWW. POPULARON INE. COM. NY"
0,00d0164592408,"KESTURAN WAN SHENG 002043319 W NO.2, JALAN TEMENGGUNG 19/9, SEKSYEN 9, BANDAR MAHKOTA CHERAS, 43200 CHERAS, SELANGOR GST REG NO 001835787520 TAX INVOICE INV NO. 1030720 CASHIER: NICOLE DATE : O5 OS 2018 18: 02: 50 DESCRIPTION TY U.PRICE TOTAL TAX MILO 8 2K 2.80 5.60 SR TAKE AWAY 2X 0.20 U.DU SR TOTAL QTY: 4 TOTAL EXCLUDING GST: 5.66 GST PAYABLE 6 0.34 TOTAL INCLUSIVE OF GST: 6.00 TOTAL . B.00 CASH : 6.00 GST SUMMARY AMOUNT RM TAXRN SR  6 5.66 0.34"
0,00d0696518680,"LIM SENG THO HARDWARE TRADING NO 7, SIMPANG OFF BATU VILLAGE JALAN IPOH BATU 5, 51200 KUALA LUMPUR MALAYSIA TEL  FAX NO 036258 7191 036258 7191 T COMPANY REG NO. 002: GST REG NO. 001269075968 TAX INVOICE  INVOICE NO CS 24198 DATE 03/02/2018 15:28 CASHIER  LST RM CODE BEG GUNI 10.00 NOS X 070 SUBTOTAL 7.00 TOTAL INCL. OF GST PAYINENT F 00 CHANGE DUE 0.00 TOTAL ITEMS  10 GST SUMMARY  AMOUNTRM TAXRM SR 6 6.60 ARARARANE THANK YOU TTANRAA AS  PLEASE COME AGAIN  GOODS SOLD ARE NOT RETURNABLE"
0,00d0142736377,"ONE ONE THREE SEAFOOD RESTAURANT SDN BHD 1120908M NO.1, TAMAN SRI DENGKIL, JALAN AIR HITAM 43800 DENGKIL, SELANGOR. GST REG. NO  000670224384 TAX INVOICE TABLE 37 BI11:V001540338 ORDER: 140447 DATE : 13062018 22:53:19 CASHIER: 113 CASHIER PAXS: 0 AY DESCRIPTION TOTAL LAS IF 15. 00 SR RICE W SEAFOOD /MEAT ITEM SINGLE  D .00 SR BEVERAGE  D 16.00 SR NOODLE ITEM SINGLE TOTAL EXCL DING GST: 35.00 TOTAL INCLUSIVE OF GST: 35.00 TOTAL: 35...00 CLOSED 1 13062018  23:12:13 SERVER: 113 CASHIER CASH : 35.00 GST SAAS AMOUNTRM  TAXRM SR UT 0 35.00 0.00 EEE THANK YOU 44 PLEASE COME AGAIN"
0,00d0530724847,",. RESTORAN WAN SHENG 002043319W NO.2, JALAN TEMENGGUNG 19/9, SEKSYEN 9, BANDAR MAHKOTA CHERAS, 43200 CHERAS, SELANGOR GST REG NO: 001335787520 TAX INVOICE INV NO.: 1063110 CASHIER: THANDAR DATE : 19032018 18:08:38 MILO B 2X 2. 80 5.60 SR TAKE AWAY 2X 0. 20 0.40 SR TOTAL QTY: 4 TOTAL EXCLUDING GST : 5. 66 GST PAYABLE 6 : 0. 34 TOTAL INCLUSIVE OF GST: 6.00 TOTAL: 6.00 CASH : 6. 00 GST SUMMARY AMOUNT RM TAX RM SR  6 5. 66 0. 34 I ."
0,00d0114666542,"RESTORAN WAN SHENG 102043319W NO.2, JALAN TEMENGGUNG 19/4, SEKSYEN 9, BANDAR MAHKOTA CHERAS, 43200 CHERAS, SELANGOR GST REG NO 5 /B7H20 TAX INVOICE INV NO.: 1170190 CASHIER: NICOLE DATE : O1 06 ANG 18: AT: 08 DESORPTION ATY U. RICE TOTAL TA CHAN B 2 2,20 4.40 ZRL JAKE AWAY 2X 0.20 0 TOTAL QTY: 4 TOTAL EXCLUDING GST: 4.80 TOTAL INE LUSIVE OF GST: 4.80 T OT AL 4. 80 CASH 4, 80 GST SUMMARY AMOUNT RM TAXRM ZRL  0 4.80 0.00"
0,00d0770154989,"HORE MASTER HARDWARE  ELECTRICAL NQ.113G  115G, JALAN SETIA GEMEILANG U13/GG BANDAR SETIA ALAM, 40770 BANDAR SETIA ALAM, SELANGOR, COMPANY REG NO. S403711951F GST REG NO. 001837511166 TAK INVOICE INVOLGE NO. CS 47832 DATE: 22/12/2017 14:03 CASHLER : CASHIER RM CODE 24NIMW7Y M.ONE TAPE 1.00  15.90 15.90 SR SUBTOIAT : 75.90 TOTALEXCLOFGST 45.00 TOTA INCL. OF GST 15.90 TOTALAMTROUNDED 45.90 PAYMENT : 0.00 CHANGE DUE : 34,70  TOTAL TEMA 4 G UMMARY AMOUNIRM TAX RN SR A 18.00 O.S0 SISENCEES TELA YY TAEEEAEES ARY GOODS RETURN PLEASE 00 WITHIN  CAYS WITH ORIGINAL RECEIPT TA"
0,00d0201817639,"POPULAR BOOK CO. M SDN BHD CO. NO. 113825W GST REG NO. 001492992000  NO 8, JALAN 7/118B, DESA TUN RAZAK 56000 KUALA LUMPUR, MALAYSIA , SUNWAY VELOCITY TEL : 039201 6281/6920 01/03/18 19:14 SLIP NO.: 0010104733 WONG PEI YI TRANS: 114793 MEMBER CARD NO: 2008011381468 CARD EXPIRY: 30/09/18 DESCRIPTION AMOUNT TOMBOW C/TAPE CX5N 2PC  9, 89 19.78 T  SPRING ISSUE 20 REBA L11L XVENTURE UNEXPLABK 12.00 Z MEMBER DISCOUNT 1.20 PU EXPANDING FILETS 20.90 T MEMBER DISCOUNT 2. 09 TOTAL RM INCL. OF GST 49. 39 ROUNDING ADJ 0.01 TOTAL RM 49, 40 CASH 50. 00 CHANGE 0.60 ITEM COUNT 5 GST SUMMARY AMOUNT RM TAX RM T  6 36. 41 2.18 Z  0 10, 80 0.00 TOTAL SAVINGS 3. 29 BE A POPULAR CARD MEMBER AND ENJOY SPECIAL DISCOUNTS THANK YOU. PLEASE COME AGAIN. WWW. POPULAR. COM, MY BUY CHINESE BOOKS ONLINE WWW. POPULARON INE. COM. MY"
0,00d0957822503,"T  EALIVE CT281  TEALIVE SHELL KEPONG OTTOGO ENTERPRISE 002570632X GST 1ID:001018802176 SHELL STATION PT15944, MUKIM BATU, JIN BESAR KEPONG TAX INVOICE COUNTER, 7290 TAKE AWAY BILL NO 394024495 COMPLETED DATE: 21/01/2018 15 4609 SALES REMARKS. HAZELNUT COCO L 1 760 SR PEARL 1 1.10 ITEMNAME TY PRICERM SUB TOTAL  RM8.60. ROUNDING RMO.00 TOTAL SALES INCL GST  6 RM8 60 CASH 8.60 TENDERED 9.00 CHANGE 0.40 CODE AMOUNT TAX SR  6 8.12 0.48 YOU HAVE JUST MISSED OUT 8 POINTS SIGN UP FOR A TEALIVE UNITEA CARD TODAY TO ENJOY EXCLUSIVE MEMBER PROMOTIONS AND COLLECT BPOINTS TO REDEEM ON FUTURE PURCHASES THANK YOU PLEASE COME AGAIN PRINTED AT:21/01/2018 15:46:09"
0,00d0708763656,"21802040 WR. D.I.. M SON BHD CO.REG :860671D LOT 1851A  1851B, JALAN KPB 6, KAWASAN PERINDUSTRIAN BALAKONG, 43300 SERI KEMBANGAN, SELANGOR GST ID NO :000306020352 101 PUCHONG TAX INVOICE STUDENT SOCKS 3PCS BK EDY JH61  4/200 9034915 US G50 SOK BELT 52023VS  QI31  12/480 9034870 1X 22.90 22.90 PVC MAN PER 969 BK 8 WA386  . 9555590500184 1X 10.50 10.50 ITEMS : 3 QTYS : 3 TOTAL INCL. GST6 RM 42.90 CASH RM 50.00 CHANGE RM 7.10 OI 6 INCLUDED IN TOTAL RM 2.43 IT 0318 14:49 SHO1 ZJ86 11 ROO0110133 OPERATOR TRAINEE CASHIER EXCHANGE ARE ALLOWED WITHIN 7 DAY WITH RECEIPT. STRICTLY NO CASH REFUND."
