,0,1
0,00d0950629356,"DE LUXE CIRCLE FRESH MART SDN BHD (MUTIARA RINI 16) GST NO:001507647488 CO REG NO:797887-W NO, 89&91, JALAN UTAMA, TAMAN MUTIA RINI, 81300 SKUDAI, JOHOR. TEL:016-7780546 MT161201805120055 12/05/18 12:12:57 PM CHU PECK CASHIER: 12/05/18 12:13:17 PM HEAVEN & EARTH AYATAKA GREEN TEA 1.5L 8888002119454 5.00*1 5.00 S KONNYAKU 10G 7.00 S 8888338001119 3.50*2 12.00 2 TOTAL WITH GST @ 6% ITEM: 3 ROUNDING 0.00 QTY: TOTAL SAVING: 0.00 12.00 TOTAL TENDER CASH 50.00 38.00 CHANGE TAX AMOUNT GOODS GST ANALYSIS S = 6% 11.32 0.68 Z = 0% 0.00 0.00 POINTS EARNED: 11 MEMBER 0000036581 MEMBER: WONG SHOO YUEN *THANK YOU. SEE YOU AGAIN !! *CUSTOMER CARE LINE : 012-7092889 *CUSTOMERSERVICE@DELUXEGROUPS.COM"
0,00d0608566104,"SANYU STATIONERY SHOP NO. 31G&33G, JALAN SETIA INDAH X ,U13/X 40170 SETIA ALAM MOBILE /WHATSAPPS : +6012-918 7937 TEL: +603-3362 4137 GST ID NO: 001531760640 TAX INVOICE OWNED BY : SANYU SUPPLY SDN BHD (1135772-K) CASH SALES COUNTER 1. 2012-0029 RESTAURANT ORDER CHIT NCR 3.5""X6"" 3 X 2.9000 8.70 SR TOTAL SALES INCLUSIVE GST @6% 8.70 DISCOUNT 0.00 TOTAL 8.70 ROUND ADJ 0.00 FINAL TOTAL 8.70 CASH 10.00 CHANGE 1.30 AMOUNT(RM) GST SUMMARY TAX(RM) SR @ 6% 8.21 0.49 INV NO: CS-SA-0079030 DATE: 18/04/2017 GOODS SOLD ARE NOT RETURNABLE & REFUNDABLE THANK YOU FOR YOUR PATRONAGE PLEASE COME AGAIN. TERIMA KASIH SILA DATANG LAGI ** PLEASE KEEP THIS RECEIPT FOR PROVE OF PURCHASE DATE FOR I.T PRODUCT WARRANTY PURPOSE ** FOLLOW US IN FACEBOOK : SANYU.STATIONERY"
0,00d0384888865,"PASIR EMAS HARDWARE SDN BHD (801222-M) (GST ID NO : 000144596992) NO 69,JALAN PENGKALAN 5, TAMAN PASIR EMAS, KG PASIR PUTIH, 81700 PASIR GUDANG,JOHOR. TEL/FAX: 07-271 2406 TAX INVOICE : POS/53796 BILL NO : 23/06/18 12:46:33 PM DATE : ASH CASHIER : CASH PAYMENT AMOUNT PRICE ITEM QTY PLUG TOP 13A(BIASA-MK) @8.00 24.00 SR0 8.00 3 WAAN34 UMS 13A PLUG(SINGLE) @4.00 12.00 SR0 4.00 3 ST00014 36.00 GROSS AMT: 0.00 GST (6%) : 36.00 NET AMT : 36.00 RECEIVED 0.00 CHANGE : 0.00 ROUND ADJ.: TAX(RM) AMOUNT(RM) GST SUMMARY 0.00 36.00 SR0 @ 0% THANK YOU PLEASE COME AGAIN"
0,00d0233173701,"3180404 BERRY'S CAKE HOUSE (CO NO. 315481-T) GST NO. 001287233536 NO.1, JLN PUTERI 1/6, BANDAR PUTERI, 47100 PUCHONG, SELANGOR OUTLET:03-80626265 CARELINE:03-56381988 SESSION:11444 18/04/2018 5:18:08 P USER:1 POS:2 TAX INVOICE NO:14551 DESC & CODE PRICE AMOUNT QTY 00014960 RAISIN ALMOND BREAD 1.00 4.55 4.55 00002493 CHEESE ROLL (4) 1.00 3.90 3.90 00002479 BUTTER ROLL (4) 1.00 2.80 2.80 TOTAL INCLUSIVE OF TAX 11.25 0.00 ROUNDING ADJUSTMENT SUBTOTAL 11.25 20.00 RINGGIT M'SIA -20.00 PAYMENT 8.75 CHANGE 3 ITEM COUNT 3 ITEM TOTAL AMOUNT GST GST SUMMARY 0.00 0.00 GST 0% * 0.64 10.61 GST 6% 14551/1582555 RECEIPT/TRX NO ALL BERRY'S PRODUCTS ARE AVAILABLE AT BERRY'S OUTLET ONLY. CUSTOMERSERVICE@BERRYS.COM.MY WWW.BERRYS.COM.MY"
0,00d0271405634,"HERO DISTRIBUTION SDN BHD 666770-U (SUBANG JASA) GST REG : 001627654144 4243,COMPLEKS PERNIAGAAN SRI GAYA, JLN TMN SUBANG JASA 3, 40150 SELANGOR 17/05/17 TAX INVOICE : SJP03201705170016 08:48:09 SITI ANI CASHIER : CAP MAKMUR MINYAK PACKET 1KG 7.50 Z 2.50*3 9555845400009 H/GRASS K/JELLY F/POW S'BERRY 250G '1 18.00 S 6.00*3 9555124301089 SA GRANNY SMITH 10'S (PKT) 15.98 Z 515474 7.99*2 41.48 TOTAL WITH GST @ 6% ITEM 3 0.02 8 ROUNDING QTY 41.50 TOTAL 0.00 TOTAL SAVING TENDER 41.50 MASTER 5148 APP: 83650 0.00 CHANGE TAX AMOUNT GOODS GST ANALYSIS 1.02 16.98 S = 6% 0.00 Z = 0% 23.48 MEMBER NUM : 80148970 WONG TAI CHIN THANK YOU FOR SHOPPING WITH US. PLEASE COME AGAIN :"
0,00d0658523473,"LEONG HENG SHELL SERVICE STATION COMPANY NO :256628-W LOT 26151 BANDAR SG LONG, 11 1/4 MILES CHERAS, 43000 KAJANG, SELANGOR SITE : 2188 TELEPHONE : 03-90805318 GST NO : 001934041088 INVOICE NUMBER: 01000339450 PRE AUTH CODE A01A1529424173 22.73 LITRE PUMP # 06 FUELSAVE 95 RM 50.00 C 2.200 RM / LITRE TOTAL RM 50.00 CASH RM 50.00 RELIEF GST 0.00 RM C C TOTAL GROSS RM 50.00 CASHIER: KKHALEK POS CNO SHIFT NUM TIME DATE 20/06/18 00:05 90554 01 4145 331 DIESEL & PETROL RON95 GIVEN RELIEF UNDER SECTION 56(3)(B) GST ACT 2014 THANK YOU AND PLEASE COME AGAIN"
0,00d0363399593,"MR. D.I.Y. (M) SDN BHD (CO REG :860671-D) LOT 1851-A & 1851-B, JALAN KPB 6, KAWASAN PERINDUSTRIAN BALAKONG, 43300 SERI KEMBANGAN, SELANGOR (GST ID NO :000306020352) (TESCO MUTIARA DAMANSARA) TAX INVOICE *S SOURING PAD 1018-4 4S WA03 - 24/240 4 X 2.80 11.20 9555221301081 *S SCISSOR G/FISH AD51 - 24/360 3.00 1.50 2 X 9064422 *S TRAILING SKT 5GN+SP 3X1.25MM CABLE 2 WA27 - 20 22.90 1 X 22.90 9553114461966 QTY(S) : 7 ITEM(S) : 3 RM 37.10 TOTAL INCL. GST@6% RM 50.00 CASH RM 12.90 CHANGE TAX(RM) AMT(RM) GST SUMMARY 2.10 35.00 GST S@6% T1 R000418193 14-03-18 21:49 SH03 ZJ20 OPERATOR TMDC - SAH BIJAY KUMAR EXCHANGE ARE ALLOWED WITHIN 7 DAYS WITH RECEIPT . STRICTLY NO CASH REFUND ."
0,00d0100894168,"AEON CO. (M) BHD (126926-H) 3RD FLR, AEON TAMAN MALURI SC JLN JEJAKA, TAMAN MALURI CHERAS, 55100 KUALA LUMPUR GST ID : 002017394688 SHOPPING HOURS SUN-THU:1000 HRS - 2200 HRS FRI-SAT:1000 HRS - 2300 HRS VALUED CUSTOMER: 1250016708 93.90SR 1X 000004921851 1000Z TP GIKEN -4.69 AEON CARD DISC @89.21 169.00SR 1X 000006227678 TEFAL COMFORT M -20.00 ITEM PROMO @149.00 -7.45 AEON CARD DISC @141.55 558.00SR 1X 000008612854 A161S545 TEFAL -299.00 ITEM PROMO @259.00 -12.95 AEON CARD DISC @246.05 476.81 SUB-TOTAL 476.81 TOTAL SALES INCL GST -0.01 ROUNDING ADJ 476.80 TOTAL AFTER ADJ INCL GST 500.00 CASH 23.20 CHANGE AMT ITEM COUNT 3 INVOICE NO: 2018051110133130177 TAX AMOUNT GST SUMMARY 26.99 449.82 SR @ 6% 26.99 449.82 TOTAL 1013 313 3130177 11/05/2018 17:19 0304023 CST NURNABILA EMISHA BINTI IBRAHIM 14 REGULAR STAMP(S) : 0 : BONUS STAMP(S) : 14 TOTAL STAMP(S) AEON STAMPS LOYALTY PROGRAM ""PRODUCT (S)"" SOLD ARE NEITHER EXCHANGEABLE NOR REFUNDABLE AEON TEBRAU CITY TEL 1-300-80-AEON (2366) THANK YOU FOR YOUR PATRONAGE PLEASE COME AGAIN EXCLUSIVE FOR AEON MEMBERS: WE LOVE TO HEAR YOUR FEEDBACK VISIT WWW.SURVEYMONKEY.COM/R/AEONCSIS (STORE) / WWW.SURVEYMONKEY.COM/R/AEONCSIM (MALL) SHARE YOUR EXPERIENCE *GET RM5 AEON GIFT VOUCHER*"
0,00d0685723809,"CITY MILK R&C VENTURE SDN BHD (1191015-W) LOT-18A-2, BERJAYA TIMES SQUARE, KUALA LUMPUR. (GST NO: 001557721088) TAX INVOICE ORDER #:139358 INV NO.: 539319 19-04-2018 13:43:54 : DATE CASHIER: CITY MILK CASHIER TAX DESCRIPTION QTY TOTAL U.PRICE BANANA MILKSHAKE(R) 1 X 9.50 SR 9.50 TOTAL QTY: 1 8.96 TOTAL (EXCLUDING GST): 0.54 GST PAYABLE (6%): 9.50 TOTAL (INCLUSIVE OF GST): TOTAL: 9.50 10.50 CASH : CHANGE : 1.00 GST AMOUNT(RM) TAX(RM) SUMMARY SR 8.96 0.54 (@ 6%) **** THANK YOU **** PLEASE COME AGAIN"
0,00d0774260218,"PAPPARICH BMC NO.19 & 21 JALAN TEMENGGUNG 23/9 BANDAR MAHKOTA CHERAS 43200 SELANGOR DARUL EHSAN, MALAYSIA TAX INVOICE GST ID:000164270080 2 COUNTERI 2003 SAI FUL CHK 263370 GUESTL 24 MAR 18 09:12:41 PM TBL35 / 1 1 D28 MILO DINO (I) E 7.45 S 2 R03 N'LEMAK+FC E @17.83 35.66 S 9.34 S 1 N22 SPRG NDL+SU+CR E 1 B02 HALF BL EGG E 4.53 S 5.57 S 1 D19 CHAM (I) E CASH 73.00 62.55 62.55 SUBTOTAL 6.25 10% SRV CHG 6% GST 4.13 72.93 TOTAL: RND ADJ 0.02 TTL ATF RND 72.95 73.00 PAYMENT CHANGE DUE 0.05 2003 CLOSED 24 MAR 18 09:58:26 PM THANK YOU! PLEASE COME AGAIN! PRICE IS GST INCLUSICVE AMOUNT (RM) GSTSUMMARY GST (RM) S=GST @6%: 68.82 4.13 Z=GST @0%: 0.00 0.00"
